_id,reservation,montant,methodePaiement,statut,datePaiement,createdAt,updatedAt,__v
6956e0fe33e2abe4be8bd953,6956e0fe33e2abe4be8bd94f,5761.0,CARTE_CREDIT,VALIDEE,2025-02-05,2026-01-01 21:02:54.318,2026-01-01 21:02:54.318,0
6956e0fe33e2abe4be8bd95b,6956e0fe33e2abe4be8bd957,3264.0,ESPECES,VALIDEE,2024-10-22,2026-01-01 21:02:54.336,2026-01-01 21:02:54.336,0
6956e0fe33e2abe4be8bd963,6956e0fe33e2abe4be8bd95f,3381.0,CARTE_CREDIT,VALIDEE,2025-02-21,2026-01-01 21:02:54.343,2026-01-01 21:02:54.343,0
6956e0fe33e2abe4be8bd977,6956e0fe33e2abe4be8bd973,904.0,CHEQUE,VALIDEE,2024-11-29,2026-01-01 21:02:54.367,2026-01-01 21:02:54.367,0
6956e0fe33e2abe4be8bd97f,6956e0fe33e2abe4be8bd97b,2468.0,CARTE_CREDIT,VALIDEE,2025-03-21,2026-01-01 21:02:54.376,2026-01-01 21:02:54.376,0
6956e0fe33e2abe4be8bd987,6956e0fe33e2abe4be8bd983,1512.0,CHEQUE,VALIDEE,2024-10-22,2026-01-01 21:02:54.385,2026-01-01 21:02:54.385,0
6956e0fe33e2abe4be8bd98f,6956e0fe33e2abe4be8bd98b,3966.0,CHEQUE,VALIDEE,2025-02-13,2026-01-01 21:02:54.392,2026-01-01 21:02:54.392,0
6956e0fe33e2abe4be8bd997,6956e0fe33e2abe4be8bd993,1028.0,VIREMENT,VALIDEE,2025-01-30,2026-01-01 21:02:54.398,2026-01-01 21:02:54.398,0
6956e0fe33e2abe4be8bd9a2,6956e0fe33e2abe4be8bd99e,162.0,ESPECES,VALIDEE,2024-10-29,2026-01-01 21:02:54.409,2026-01-01 21:02:54.409,0
6956e0fe33e2abe4be8bd9ad,6956e0fe33e2abe4be8bd9a9,2675.0,VIREMENT,VALIDEE,2025-01-08,2026-01-01 21:02:54.420,2026-01-01 21:02:54.420,0
6956e0fe33e2abe4be8bd9b5,6956e0fe33e2abe4be8bd9b1,2871.3999999999996,CHEQUE,VALIDEE,2025-02-06,2026-01-01 21:02:54.427,2026-01-01 21:02:54.427,0
6956e0fe33e2abe4be8bd9c0,6956e0fe33e2abe4be8bd9bc,1254.3999999999999,ESPECES,VALIDEE,2024-10-15,2026-01-01 21:02:54.438,2026-01-01 21:02:54.438,0
6956e0fe33e2abe4be8bd9d1,6956e0fe33e2abe4be8bd9cd,700.0,ESPECES,VALIDEE,2025-01-23,2026-01-01 21:02:54.451,2026-01-01 21:02:54.451,0
6956e0fe33e2abe4be8bd9de,6956e0fe33e2abe4be8bd9da,786.0,VIREMENT,VALIDEE,2025-03-06,2026-01-01 21:02:54.465,2026-01-01 21:02:54.465,0
6956e0fe33e2abe4be8bd9e9,6956e0fe33e2abe4be8bd9e5,1010.0,ESPECES,VALIDEE,2025-01-17,2026-01-01 21:02:54.477,2026-01-01 21:02:54.477,0
6956e0fe33e2abe4be8bd9f1,6956e0fe33e2abe4be8bd9ed,1746.0,VIREMENT,VALIDEE,2025-02-28,2026-01-01 21:02:54.485,2026-01-01 21:02:54.485,0
6956e0fe33e2abe4be8bd9fe,6956e0fe33e2abe4be8bd9fa,926.0,CHEQUE,VALIDEE,2025-03-20,2026-01-01 21:02:54.496,2026-01-01 21:02:54.496,0
6956e0fe33e2abe4be8bda06,6956e0fe33e2abe4be8bda02,3558.0,ESPECES,VALIDEE,2024-12-21,2026-01-01 21:02:54.502,2026-01-01 21:02:54.502,0
6956e0fe33e2abe4be8bda18,6956e0fe33e2abe4be8bda14,2618.0,CARTE_CREDIT,VALIDEE,2025-02-05,2026-01-01 21:02:54.513,2026-01-01 21:02:54.513,0
6956e0fe33e2abe4be8bda23,6956e0fe33e2abe4be8bda1f,2094.0,VIREMENT,VALIDEE,2025-01-11,2026-01-01 21:02:54.521,2026-01-01 21:02:54.521,0
6956e0fe33e2abe4be8bda2b,6956e0fe33e2abe4be8bda27,1408.3999999999999,CARTE_CREDIT,VALIDEE,2025-02-12,2026-01-01 21:02:54.527,2026-01-01 21:02:54.527,0
6956e0fe33e2abe4be8bda33,6956e0fe33e2abe4be8bda2f,149.0,VIREMENT,VALIDEE,2024-12-12,2026-01-01 21:02:54.533,2026-01-01 21:02:54.533,0
6956e0fe33e2abe4be8bda3b,6956e0fe33e2abe4be8bda37,2681.0,CHEQUE,VALIDEE,2025-01-19,2026-01-01 21:02:54.539,2026-01-01 21:02:54.539,0
6956e0fe33e2abe4be8bda4e,6956e0fe33e2abe4be8bda4a,3465.0,VIREMENT,VALIDEE,2024-12-16,2026-01-01 21:02:54.554,2026-01-01 21:02:54.554,0
6956e0fe33e2abe4be8bda59,6956e0fe33e2abe4be8bda55,4026.0,CARTE_CREDIT,VALIDEE,2025-03-29,2026-01-01 21:02:54.562,2026-01-01 21:02:54.562,0
6956e0fe33e2abe4be8bda64,6956e0fe33e2abe4be8bda60,2300.0,ESPECES,VALIDEE,2025-01-11,2026-01-01 21:02:54.569,2026-01-01 21:02:54.569,0
6956e0fe33e2abe4be8bda6c,6956e0fe33e2abe4be8bda68,1119.3,CHEQUE,VALIDEE,2025-02-06,2026-01-01 21:02:54.574,2026-01-01 21:02:54.574,0
6956e0fe33e2abe4be8bda74,6956e0fe33e2abe4be8bda70,2800.0,VIREMENT,VALIDEE,2024-10-25,2026-01-01 21:02:54.579,2026-01-01 21:02:54.579,0
6956e0fe33e2abe4be8bda7c,6956e0fe33e2abe4be8bda78,700.0,CHEQUE,VALIDEE,2024-11-09,2026-01-01 21:02:54.585,2026-01-01 21:02:54.585,0
6956e0fe33e2abe4be8bda84,6956e0fe33e2abe4be8bda80,447.0,CHEQUE,VALIDEE,2024-11-23,2026-01-01 21:02:54.591,2026-01-01 21:02:54.591,0
6956e0fe33e2abe4be8bda8c,6956e0fe33e2abe4be8bda88,909.0,ESPECES,VALIDEE,2024-12-12,2026-01-01 21:02:54.596,2026-01-01 21:02:54.596,0
6956e0fe33e2abe4be8bda97,6956e0fe33e2abe4be8bda93,1830.0,CARTE_CREDIT,VALIDEE,2025-02-22,2026-01-01 21:02:54.604,2026-01-01 21:02:54.604,0
6956e0fe33e2abe4be8bda9f,6956e0fe33e2abe4be8bda9b,2960.0,VIREMENT,VALIDEE,2025-03-03,2026-01-01 21:02:54.609,2026-01-01 21:02:54.609,0
